| %    | Decomp?  | Name                                | # of insns | Asm Path 
| 1.00 | true     | func_800B355C                       | 8          | asm/us/main/matchings/visuals/visual_23/func_800B355C.s 
| 1.00 | true     | func_800B3E20                       | 8          | asm/us/main/matchings/visuals/visual_25/func_800B3E20.s 
| 1.00 | true     | func_800B41AC                       | 8          | asm/us/main/matchings/visuals/visual_28/func_800B41AC.s 
| 1.00 | true     | func_800B4558                       | 8          | asm/us/main/matchings/visuals/visual_29/func_800B4558.s 
| 1.00 | true     | func_800B4578                       | 8          | asm/us/main/matchings/visuals/visual_29/func_800B4578.s 
| 1.00 | true     | func_800B46C8                       | 8          | asm/us/main/matchings/visuals/visual_30/func_800B46C8.s 
| 1.00 | true     | func_800B4E14                       | 8          | asm/us/main/matchings/visuals/visual_31/func_800B4E14.s 
| 1.00 | true     | func_800B56D4                       | 8          | asm/us/main/matchings/visuals/visual_34/func_800B56D4.s 
| 1.00 | true     | func_80098970                       | 8          | asm/us/main/matchings/weapons/weapon_57/func_80098970.s 
| 1.00 | true     | func_80098A9C                       | 8          | asm/us/main/matchings/weapons/weapon_58/func_80098A9C.s 
| 1.00 | true     | func_80099480                       | 8          | asm/us/main/matchings/weapons/weapon_61/func_80099480.s 
| 1.00 | false    | CdDataSync                          | 8          | asm/us/main/nonmatchings/psxsdk/libgs/gs_125/CdDataSync.s 
| 1.00 | false    | CdFlush                             | 8          | asm/us/main/nonmatchings/psxsdk/libgs/gs_125/CdFlush.s 
-------------------------------------------------------------------------------
| 1.00 | false    | dmy_SsContBankChange                | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContBankChange.s 
| 1.00 | false    | dmy_SsContDamper                    | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContDamper.s 
| 1.00 | false    | dmy_SsContDataEntry                 | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsContDataEntry.s 
